airport_ident,has_navaid,navaid_count,navaid_count_bucket,navaid_type_group,dominant_usage_type,max_power
DABB,Y,2,2-3,Mixed,BOTH,HIGH
DABC,Y,2,2-3,Mixed,BOTH,HIGH
DABS,Y,1,1,Radio Nav,BOTH,HIGH
DABT,Y,2,2-3,Mixed,BOTH,HIGH
DAOB,Y,2,2-3,Mixed,BOTH,HIGH
DAOF,Y,1,1,Radio Nav,BOTH,HIGH
DAON,Y,2,2-3,Mixed,BOTH,HIGH
DAOO,Y,1,1,Radio Nav,BOTH,HIGH
DAOR,Y,2,2-3,Mixed,BOTH,HIGH
DAOV,Y,2,2-3,Mixed,BOTH,HIGH
DATG,Y,2,2-3,Mixed,BOTH,HIGH
DAUA,Y,2,2-3,Mixed,BOTH,MEDIUM
DAUB,Y,1,1,Radio Nav,BOTH,HIGH
DAUE,Y,2,2-3,Mixed,BOTH,HIGH
DAUG,Y,2,2-3,Mixed,BOTH,MEDIUM
DAUH,Y,2,2-3,Mixed,TERMINAL,HIGH
DAUI,Y,2,2-3,Mixed,BOTH,HIGH
DAUK,Y,1,1,Radio Nav,BOTH,MEDIUM
DAUO,Y,2,2-3,Mixed,BOTH,HIGH
DAUT,Y,2,2-3,Mixed,BOTH,HIGH
DAUZ,Y,2,2-3,Mixed,BOTH,HIGH
DBBB,Y,2,2-3,Mixed,TERMINAL,HIGH
DBBN,Y,1,1,NDB Family,LO,MEDIUM
DBBP,Y,1,1,Radio Nav,BOTH,MEDIUM
DE-0440,Y,2,2-3,Mixed,TERMINAL,LOW
DE-0456,Y,3,2-3,Mixed,LO,HIGH
DE-0875,Y,2,2-3,Mixed,LO,LOW
DE-0876,Y,3,2-3,Mixed,TERMINAL,HIGH
DE-0877,Y,3,2-3,Mixed,LO,MEDIUM
DE-0881,Y,2,2-3,Mixed,BOTH,LOW
DE-0882,Y,1,1,Radio Nav,BOTH,HIGH
DE-0883,Y,2,2-3,Mixed,BOTH,HIGH
DE-0884,Y,1,1,Radio Nav,BOTH,MEDIUM
DE-0904,Y,1,1,Radio Nav,BOTH,MEDIUM
DFFD,Y,2,2-3,Mixed,BOTH,HIGH
DFOO,Y,2,2-3,Mixed,BOTH,HIGH
DGAA,Y,2,2-3,Mixed,TERMINAL,HIGH
DGLE,Y,2,2-3,Mixed,BOTH,HIGH
DGSI,Y,2,2-3,Mixed,TERMINAL,HIGH
DGSN,Y,1,1,NDB Family,BOTH,LOW
DGTK,Y,1,1,NDB Family,BOTH,LOW
DIAP,Y,3,2-3,Mixed,BOTH,HIGH
DIBI,Y,1,1,NDB Family,BOTH,MEDIUM
DIBK,Y,3,2-3,Mixed,BOTH,HIGH
DIBN,Y,1,1,NDB Family,TERMINAL,MEDIUM
DIBU,Y,2,2-3,Mixed,BOTH,HIGH
DIDL,Y,1,1,NDB Family,BOTH,MEDIUM
DIGA,Y,1,1,NDB Family,BOTH,MEDIUM
DIKO,Y,2,2-3,Mixed,BOTH,HIGH
DIMN,Y,1,1,NDB Family,TERMINAL,LOW
DIOD,Y,2,2-3,Mixed,BOTH,HIGH
DISG,Y,1,1,NDB Family,BOTH,MEDIUM
DISP,Y,2,2-3,Mixed,BOTH,HIGH
DISS,Y,1,1,NDB Family,BOTH,LOW
DITB,Y,1,1,NDB Family,BOTH,LOW
DIYO,Y,3,2-3,Mixed,BOTH,HIGH
DN53,Y,1,1,Radio Nav,BOTH,HIGH
DNAA,Y,3,2-3,Mixed,BOTH,MEDIUM
DNAK,Y,1,1,NDB Family,LO,MEDIUM
DNBE,Y,3,2-3,Mixed,BOTH,MEDIUM
DNCA,Y,2,2-3,Mixed,LO,HIGH
DNEN,Y,2,2-3,Mixed,TERMINAL,HIGH
DNIB,Y,3,2-3,Mixed,BOTH,HIGH
DNIL,Y,1,1,Radio Nav,BOTH,HIGH
DNJO,Y,1,1,Radio Nav,BOTH,HIGH
DNKA,Y,2,2-3,Radio Nav,BOTH,HIGH
DNKN,Y,3,2-3,Mixed,TERMINAL,HIGH
DNMA,Y,2,2-3,Mixed,TERMINAL,HIGH
DNMK,Y,1,1,NDB Family,LO,LOW
DNMM,Y,3,2-3,Mixed,BOTH,HIGH
DNPO,Y,2,2-3,Mixed,BOTH,HIGH
DNSO,Y,1,1,Radio Nav,BOTH,HIGH
DNYO,Y,2,2-3,Mixed,BOTH,HIGH
DO-0013,Y,1,1,NDB Family,LO,MEDIUM
DRRM,Y,1,1,NDB Family,BOTH,MEDIUM
DRRN,Y,1,1,Radio Nav,BOTH,HIGH
DRRT,Y,1,1,NDB Family,BOTH,LOW
DRZA,Y,2,2-3,Mixed,BOTH,HIGH
DRZD,Y,1,1,Radio Nav,BOTH,HIGH
DRZL,Y,1,1,NDB Family,TERMINAL,LOW
DRZR,Y,2,2-3,Mixed,TERMINAL,HIGH
DTKA,Y,2,2-3,Mixed,BOTH,HIGH
DTMB,Y,1,1,Radio Nav,BOTH,HIGH
DTTA,Y,3,2-3,Mixed,TERMINAL,HIGH
DTTF,Y,1,1,Radio Nav,LO,LOW
DTTG,Y,1,1,Radio Nav,BOTH,HIGH
DTTJ,Y,1,1,Radio Nav,BOTH,HIGH
DTTR,Y,2,2-3,Mixed,BOTH,MEDIUM
DTTX,Y,1,1,Radio Nav,BOTH,HIGH
DTTZ,Y,2,2-3,Mixed,BOTH,HIGH
DXNG,Y,1,1,Radio Nav,BOTH,HIGH
DXSK,Y,1,1,NDB Family,BOTH,LOW
DXXX,Y,2,2-3,Mixed,BOTH,HIGH
EBAW,Y,3,2-3,Mixed,TERMINAL,HIGH
EBBE,Y,2,2-3,Radio Nav,BOTH,HIGH
EBBL,Y,2,2-3,Mixed,BOTH,MEDIUM
EBBR,Y,5,4+,Mixed,TERMINAL,HIGH
EBCI,Y,2,2-3,Mixed,TERMINAL,HIGH
EBCV,Y,2,2-3,Radio Nav,BOTH,HIGH
EBFN,Y,1,1,Radio Nav,BOTH,HIGH
EBFS,Y,1,1,Radio Nav,BOTH,HIGH
EBKT,Y,1,1,NDB Family,TERMINAL,LOW
EBLG,Y,3,2-3,Mixed,TERMINAL,LOW
EBOS,Y,1,1,NDB Family,TERMINAL,LOW
EC-0064,Y,2,2-3,Mixed,BOTH,HIGH
EC-0070,Y,5,4+,Mixed,BOTH,HIGH
EDAB,Y,1,1,NDB Family,RNAV,LOW
EDAC,Y,2,2-3,Mixed,TERMINAL,LOW
EDAH,Y,1,1,NDB Family,TERMINAL,LOW
EDAZ,Y,1,1,Radio Nav,BOTH,HIGH
EDBH,Y,2,2-3,Mixed,TERMINAL,LOW
EDBM,Y,2,2-3,Mixed,TERMINAL,LOW
EDBN,Y,2,2-3,Mixed,BOTH,HIGH
EDBR,Y,1,1,NDB Family,TERMINAL,LOW
EDBT,Y,1,1,Radio Nav,RNAV,HIGH
EDDC,Y,2,2-3,Radio Nav,TERMINAL,HIGH
EDDE,Y,3,2-3,Mixed,TERMINAL,LOW
EDDF,Y,4,4+,Mixed,TERMINAL,HIGH
EDDG,Y,3,2-3,Mixed,TERMINAL,LOW
EDDH,Y,5,4+,Mixed,TERMINAL,HIGH
EDDK,Y,5,4+,Mixed,TERMINAL,HIGH
EDDL,Y,1,1,Radio Nav,BOTH,HIGH
EDDM,Y,7,4+,Mixed,TERMINAL,HIGH
EDDN,Y,2,2-3,Mixed,TERMINAL,LOW
EDDP,Y,6,4+,Mixed,TERMINAL,HIGH
EDDR,Y,3,2-3,Mixed,TERMINAL,LOW
EDDS,Y,4,4+,Mixed,TERMINAL,MEDIUM
EDDV,Y,5,4+,Mixed,TERMINAL,LOW
EDDW,Y,1,1,Radio Nav,BOTH,HIGH
EDFE,Y,1,1,NDB Family,TERMINAL,LOW
EDFH,Y,2,2-3,Mixed,LO,LOW
EDFM,Y,1,1,Radio Nav,TERMINAL,LOW
EDGS,Y,2,2-3,Mixed,TERMINAL,LOW
EDHK,Y,2,2-3,Mixed,LO,LOW
EDHL,Y,3,2-3,Mixed,TERMINAL,HIGH
EDLN,Y,3,2-3,Mixed,TERMINAL,HIGH
EDLP,Y,1,1,NDB Family,BOTH,LOW
EDLV,Y,1,1,Radio Nav,TERMINAL,MEDIUM
EDLW,Y,3,2-3,Mixed,BOTH,HIGH
EDMA,Y,2,2-3,Mixed,BOTH,LOW
EDME,Y,2,2-3,Mixed,BOTH,LOW
EDMO,Y,1,1,NDB Family,BOTH,LOW
EDMS,Y,1,1,Radio Nav,BOTH,HIGH
EDND,Y,1,1,Radio Nav,BOTH,HIGH
EDNY,Y,2,2-3,Mixed,BOTH,MEDIUM
EDOV,Y,1,1,Radio Nav,BOTH,HIGH
EDQD,Y,3,2-3,Mixed,TERMINAL,MEDIUM
EDQM,Y,2,2-3,Mixed,TERMINAL,LOW
EDRZ,Y,3,2-3,Mixed,BOTH,HIGH
EDSB,Y,2,2-3,Mixed,LO,MEDIUM
EDTD,Y,2,2-3,Mixed,TERMINAL,LOW
EDTL,Y,2,2-3,Mixed,BOTH,LOW
EDTM,Y,1,1,NDB Family,LO,LOW
EDTY,Y,1,1,Radio Nav,TERMINAL,LOW
EDVE,Y,1,1,NDB Family,TERMINAL,LOW
EDVK,Y,1,1,NDB Family,BOTH,LOW
EDWE,Y,2,2-3,Mixed,TERMINAL,MEDIUM
EDXH,Y,1,1,Radio Nav,BOTH,HIGH
EDXW,Y,2,2-3,Mixed,BOTH,LOW
EEKA,Y,1,1,NDB Family,LO,MEDIUM
EEKE,Y,2,2-3,Mixed,RNAV,HIGH
EEPU,Y,3,2-3,Mixed,LO,MEDIUM
EETN,Y,3,2-3,Mixed,TERMINAL,HIGH
EETU,Y,1,1,NDB Family,LO,MEDIUM
EFET,Y,2,2-3,Mixed,RNAV,HIGH
EFHA,Y,1,1,Radio Nav,RNAV,HIGH
EFHK,Y,3,2-3,Mixed,TERMINAL,HIGH
EFIV,Y,1,1,NDB Family,LO,LOW
EFJO,Y,2,2-3,Mixed,RNAV,HIGH
EFJY,Y,1,1,Radio Nav,RNAV,HIGH
EFKA,Y,1,1,Radio Nav,TERMINAL,LOW
EFKE,Y,1,1,NDB Family,RNAV,LOW
EFKI,Y,2,2-3,Mixed,TERMINAL,HIGH
EFKK,Y,2,2-3,NDB Family,BOTH,LOW
EFKS,Y,2,2-3,Mixed,RNAV,HIGH
EFKT,Y,1,1,NDB Family,RNAV,LOW
EFKU,Y,2,2-3,Mixed,LO,HIGH
EFLP,Y,2,2-3,Mixed,LO,HIGH
EFMA,Y,1,1,Radio Nav,RNAV,HIGH
EFOU,Y,2,2-3,Mixed,LO,HIGH
EFPO,Y,3,2-3,Mixed,LO,HIGH
EFRO,Y,3,2-3,Mixed,TERMINAL,HIGH
EFSA,Y,1,1,Radio Nav,RNAV,HIGH
EFSI,Y,1,1,NDB Family,RNAV,LOW
EFTP,Y,1,1,Radio Nav,RNAV,HIGH
EFTU,Y,2,2-3,Mixed,LO,HIGH
EFUT,Y,1,1,Radio Nav,BOTH,HIGH
EFVA,Y,1,1,Radio Nav,RNAV,HIGH
EG-0078,Y,2,2-3,Mixed,TERMINAL,HIGH
EGAA,Y,2,2-3,Mixed,RNAV,HIGH
EGAB,Y,1,1,NDB Family,BOTH,LOW
EGBB,Y,1,1,NDB Family,TERMINAL,LOW
EGBG,Y,1,1,NDB Family,TERMINAL,LOW
EGBJ,Y,2,2-3,Mixed,TERMINAL,MEDIUM
EGBK,Y,1,1,NDB Family,TERMINAL,LOW
EGBM,Y,1,1,NDB Family,TERMINAL,LOW
EGBN,Y,1,1,NDB Family,BOTH,HIGH
EGBO,Y,2,2-3,Mixed,TERMINAL,LOW
EGBS,Y,1,1,NDB Family,TERMINAL,LOW
EGCC,Y,2,2-3,Mixed,BOTH,HIGH
EGCK,Y,1,1,NDB Family,TERMINAL,LOW
EGCL,Y,1,1,NDB Family,TERMINAL,LOW
EGCW,Y,1,1,NDB Family,TERMINAL,LOW
EGDM,Y,1,1,Radio Nav,BOTH,HIGH
EGDX,Y,1,1,Radio Nav,BOTH,LOW
EGDY,Y,1,1,Radio Nav,RNAV,HIGH
EGEC,Y,2,2-3,Mixed,BOTH,HIGH
EGFA,Y,1,1,NDB Family,TERMINAL,LOW
EGFE,Y,2,2-3,Mixed,TERMINAL,LOW
EGFH,Y,2,2-3,Mixed,TERMINAL,MEDIUM
EGGD,Y,1,1,NDB Family,LO,MEDIUM
EGHA,Y,1,1,NDB Family,LO,LOW
EGHE,Y,1,1,NDB Family,TERMINAL,LOW
EGHI,Y,2,2-3,Mixed,TERMINAL,HIGH
EGHJ,Y,1,1,NDB Family,LO,MEDIUM
EGHQ,Y,3,2-3,Mixed,BOTH,HIGH
EGHR,Y,1,1,Radio Nav,RNAV,HIGH
EGJB,Y,3,2-3,Mixed,LO,HIGH
EGJJ,Y,1,1,Radio Nav,BOTH,HIGH
EGKB,Y,1,1,Radio Nav,BOTH,HIGH
EGKH,Y,1,1,NDB Family,TERMINAL,LOW
EGKK,Y,2,2-3,NDB Family,TERMINAL,LOW
EGKR,Y,1,1,NDB Family,LO,LOW
EGLC,Y,1,1,NDB Family,TERMINAL,LOW
EGLK,Y,2,2-3,Mixed,LO,HIGH
EGLL,Y,1,1,Radio Nav,BOTH,HIGH
EGMD,Y,2,2-3,Mixed,BOTH,HIGH
EGNE,Y,1,1,Radio Nav,BOTH,HIGH
EGNM,Y,1,1,NDB Family,LO,HIGH
EGNO,Y,2,2-3,Mixed,BOTH,LOW
EGNS,Y,2,2-3,Mixed,BOTH,HIGH
EGNT,Y,1,1,Radio Nav,RNAV,HIGH
EGOS,Y,1,1,Radio Nav,BOTH,MEDIUM
EGOV,Y,1,1,Radio Nav,HI,HIGH
EGPA,Y,2,2-3,Mixed,TERMINAL,LOW
EGPB,Y,2,2-3,Mixed,TERMINAL,HIGH
EGPC,Y,2,2-3,Mixed,TERMINAL,HIGH
EGPD,Y,3,2-3,Mixed,TERMINAL,HIGH
EGPE,Y,2,2-3,Mixed,LO,MEDIUM
EGPF,Y,2,2-3,Mixed,LO,HIGH
EGPG,Y,1,1,NDB Family,LO,LOW
EGPH,Y,2,2-3,NDB Family,TERMINAL,LOW
EGPI,Y,2,2-3,Mixed,LO,LOW
EGPK,Y,2,2-3,NDB Family,TERMINAL,LOW
EGPL,Y,2,2-3,Radio Nav,TERMINAL,HIGH
EGPN,Y,1,1,NDB Family,TERMINAL,LOW
EGPO,Y,2,2-3,Mixed,TERMINAL,HIGH
EGPR,Y,1,1,NDB Family,LO,HIGH
EGPU,Y,1,1,Radio Nav,BOTH,HIGH
EGQL,Y,1,1,Radio Nav,BOTH,HIGH
EGQS,Y,1,1,Radio Nav,BOTH,HIGH
EGSC,Y,1,1,NDB Family,TERMINAL,LOW
EGSS,Y,2,2-3,Mixed,BOTH,HIGH
EGTC,Y,1,1,Radio Nav,BOTH,HIGH
EGTF,Y,2,2-3,Mixed,TERMINAL,LOW
EGTK,Y,2,2-3,Mixed,TERMINAL,LOW
EGTO,Y,1,1,NDB Family,TERMINAL,LOW
EGUB,Y,1,1,Radio Nav,BOTH,MEDIUM
EGUL,Y,1,1,Radio Nav,BOTH,LOW
EGUN,Y,1,1,Radio Nav,BOTH,HIGH
EGUW,Y,1,1,Radio Nav,HI,HIGH
EGVA,Y,1,1,Radio Nav,BOTH,LOW
EGVN,Y,2,2-3,Mixed,TERMINAL,HIGH
EGVO,Y,1,1,Radio Nav,BOTH,MEDIUM
EGWU,Y,1,1,NDB Family,LO,LOW
EGXC,Y,1,1,Radio Nav,BOTH,HIGH
EGXE,Y,1,1,Radio Nav,HI,LOW
EGXT,Y,1,1,Radio Nav,BOTH,LOW
EGXW,Y,1,1,Radio Nav,BOTH,HIGH
EGYD,Y,2,2-3,Mixed,TERMINAL,HIGH
EGYM,Y,1,1,Radio Nav,HI,LOW
EGYP,Y,3,2-3,Mixed,BOTH,MEDIUM
EHAM,Y,2,2-3,Radio Nav,LO,HIGH
EHBD,Y,1,1,NDB Family,BOTH,LOW
EHBK,Y,2,2-3,Mixed,BOTH,HIGH
EHDL,Y,1,1,Radio Nav,BOTH,HIGH
EHEH,Y,2,2-3,Mixed,BOTH,HIGH
EHGG,Y,2,2-3,Mixed,BOTH,HIGH
EHGR,Y,1,1,Radio Nav,BOTH,HIGH
EHKD,Y,1,1,Radio Nav,LO,HIGH
EHLE,Y,1,1,Radio Nav,BOTH,HIGH
EHLW,Y,1,1,Radio Nav,BOTH,HIGH
EHRD,Y,2,2-3,Mixed,TERMINAL,HIGH
EHTW,Y,2,2-3,Mixed,BOTH,HIGH
EHVK,Y,1,1,Radio Nav,BOTH,HIGH
EHWO,Y,1,1,Radio Nav,BOTH,HIGH
EICK,Y,1,1,Radio Nav,BOTH,HIGH
EICM,Y,1,1,NDB Family,LO,MEDIUM
EIDL,Y,1,1,NDB Family,LO,LOW
EIDW,Y,7,4+,Mixed,BOTH,HIGH
EIKN,Y,3,2-3,Mixed,BOTH,HIGH
EIKY,Y,1,1,NDB Family,BOTH,LOW
EIME,Y,1,1,Radio Nav,BOTH,HIGH
EINN,Y,3,2-3,Mixed,BOTH,HIGH
EISG,Y,1,1,NDB Family,TERMINAL,LOW
EIWF,Y,1,1,NDB Family,LO,MEDIUM
EIWT,Y,1,1,Radio Nav,BOTH,MEDIUM
EKAH,Y,2,2-3,NDB Family,TERMINAL,LOW
EKBI,Y,1,1,NDB Family,TERMINAL,LOW
EKCH,Y,1,1,Radio Nav,BOTH,HIGH
EKEB,Y,1,1,NDB Family,TERMINAL,LOW
EKKA,Y,2,2-3,Mixed,TERMINAL,HIGH
EKRK,Y,1,1,NDB Family,BOTH,MEDIUM
EKRN,Y,2,2-3,Radio Nav,BOTH,HIGH
EKSP,Y,1,1,Radio Nav,BOTH,HIGH
EKTS,Y,1,1,NDB Family,BOTH,MEDIUM
EKVG,Y,3,2-3,NDB Family,BOTH,HIGH
EKYT,Y,3,2-3,Mixed,BOTH,HIGH
ELLX,Y,3,2-3,Mixed,BOTH,LOW
ENAL,Y,3,2-3,Mixed,BOTH,HIGH
ENAN,Y,2,2-3,Radio Nav,RNAV,HIGH
ENAT,Y,2,2-3,Mixed,TERMINAL,HIGH
ENBL,Y,3,2-3,NDB Family,TERMINAL,LOW
ENBN,Y,2,2-3,Mixed,RNAV,HIGH
ENBO,Y,5,4+,Mixed,RNAV,HIGH
ENBR,Y,5,4+,Mixed,BOTH,HIGH
ENBS,Y,1,1,NDB Family,LO,LOW
ENBV,Y,1,1,NDB Family,TERMINAL,LOW
ENCN,Y,2,2-3,Mixed,BOTH,HIGH
ENDU,Y,6,4+,Mixed,RNAV,HIGH
ENEV,Y,3,2-3,Mixed,RNAV,HIGH
ENFG,Y,1,1,NDB Family,BOTH,LOW
ENFL,Y,2,2-3,Mixed,RNAV,HIGH
ENGM,Y,5,4+,Mixed,BOTH,HIGH
ENHD,Y,1,1,Radio Nav,BOTH,HIGH
ENHF,Y,1,1,Radio Nav,RNAV,LOW
ENHK,Y,1,1,NDB Family,TERMINAL,LOW
ENHV,Y,1,1,NDB Family,BOTH,MEDIUM
ENKB,Y,1,1,Radio Nav,RNAV,HIGH
ENKR,Y,2,2-3,Mixed,RNAV,HIGH
ENLI,Y,2,2-3,Mixed,BOTH,HIGH
ENLK,Y,1,1,NDB Family,BOTH,HIGH
ENML,Y,1,1,NDB Family,TERMINAL,LOW
ENMS,Y,2,2-3,Radio Nav,BOTH,HIGH
ENNA,Y,3,2-3,Mixed,BOTH,HIGH
ENNM,Y,1,1,NDB Family,BOTH,LOW
ENNO,Y,1,1,NDB Family,BOTH,HIGH
ENOL,Y,2,2-3,Mixed,BOTH,HIGH
ENOV,Y,2,2-3,NDB Family,BOTH,MEDIUM
ENRA,Y,1,1,NDB Family,RNAV,LOW
ENRM,Y,1,1,Radio Nav,BOTH,HIGH
ENRO,Y,1,1,NDB Family,RNAV,MEDIUM
ENRS,Y,1,1,Radio Nav,BOTH,HIGH
ENRY,Y,3,2-3,Mixed,TERMINAL,HIGH
ENSD,Y,1,1,NDB Family,TERMINAL,LOW
ENSG,Y,1,1,Radio Nav,BOTH,LOW
ENSH,Y,2,2-3,NDB Family,TERMINAL,LOW
ENSK,Y,1,1,Radio Nav,RNAV,HIGH
ENSN,Y,1,1,Radio Nav,RNAV,HIGH
ENSO,Y,1,1,Radio Nav,BOTH,HIGH
ENSS,Y,1,1,Radio Nav,BOTH,HIGH
ENST,Y,1,1,Radio Nav,RNAV,HIGH
ENTC,Y,4,4+,Mixed,TERMINAL,HIGH
ENTO,Y,1,1,Radio Nav,RNAV,HIGH
ENVA,Y,4,4+,Mixed,BOTH,HIGH
ENVD,Y,1,1,NDB Family,TERMINAL,LOW
ENZV,Y,5,4+,Mixed,BOTH,HIGH
EPBY,Y,2,2-3,NDB Family,BOTH,HIGH
EPGD,Y,3,2-3,Mixed,LO,HIGH
EPKK,Y,1,1,NDB Family,BOTH,HIGH
EPKT,Y,1,1,NDB Family,BOTH,HIGH
EPLK,Y,2,2-3,NDB Family,TERMINAL,LOW
EPLL,Y,1,1,Radio Nav,BOTH,HIGH
EPLU,Y,1,1,NDB Family,LO,LOW
EPML,Y,1,1,NDB Family,LO,LOW
EPOK,Y,4,4+,NDB Family,TERMINAL,LOW
EPPO,Y,1,1,NDB Family,BOTH,MEDIUM
EPPR,Y,2,2-3,NDB Family,TERMINAL,LOW
EPRZ,Y,3,2-3,Mixed,LO,HIGH
EPSC,Y,1,1,NDB Family,TERMINAL,LOW
EPSY,Y,1,1,NDB Family,LO,HIGH
EPTO,Y,2,2-3,Radio Nav,BOTH,HIGH
EPWA,Y,5,4+,Mixed,BOTH,HIGH
EPWR,Y,3,2-3,Mixed,TERMINAL,HIGH
EPZG,Y,1,1,NDB Family,TERMINAL,LOW
ESCM,Y,1,1,NDB Family,LO,LOW
ESDF,Y,2,2-3,NDB Family,TERMINAL,LOW
ESGG,Y,1,1,Radio Nav,BOTH,HIGH
ESGJ,Y,1,1,Radio Nav,BOTH,HIGH
ESIA,Y,1,1,NDB Family,TERMINAL,LOW
ESKM,Y,1,1,NDB Family,BOTH,LOW
ESMK,Y,1,1,NDB Family,BOTH,HIGH
ESMQ,Y,1,1,Radio Nav,RNAV,HIGH
ESMS,Y,3,2-3,Mixed,TERMINAL,HIGH
ESMX,Y,2,2-3,NDB Family,BOTH,LOW
ESND,Y,1,1,NDB Family,TERMINAL,LOW
ESNG,Y,1,1,NDB Family,BOTH,HIGH
ESNK,Y,1,1,NDB Family,BOTH,HIGH
ESNN,Y,1,1,Radio Nav,RNAV,HIGH
ESNO,Y,1,1,Radio Nav,RNAV,HIGH
ESNQ,Y,2,2-3,Mixed,RNAV,HIGH
ESNS,Y,1,1,Radio Nav,BOTH,HIGH
ESNU,Y,1,1,Radio Nav,BOTH,HIGH
ESNV,Y,1,1,NDB Family,BOTH,HIGH
ESNX,Y,1,1,NDB Family,LO,LOW
ESNY,Y,1,1,NDB Family,BOTH,MEDIUM
ESOE,Y,2,2-3,NDB Family,BOTH,HIGH
ESOK,Y,1,1,Radio Nav,BOTH,HIGH
ESOW,Y,1,1,Radio Nav,RNAV,HIGH
ESPA,Y,1,1,Radio Nav,BOTH,HIGH
ESSA,Y,5,4+,Mixed,BOTH,HIGH
ESSB,Y,3,2-3,NDB Family,BOTH,LOW
ESSD,Y,1,1,Radio Nav,RNAV,HIGH
ESSK,Y,1,1,NDB Family,TERMINAL,HIGH
ESSV,Y,1,1,Radio Nav,RNAV,HIGH
ESTL,Y,1,1,Radio Nav,TERMINAL,LOW
ESUD,Y,1,1,Radio Nav,BOTH,HIGH
ETAD,Y,1,1,Radio Nav,BOTH,HIGH
ETAR,Y,1,1,Radio Nav,BOTH,HIGH
ETEB,Y,1,1,NDB Family,LO,LOW
ETHB,Y,1,1,NDB Family,TERMINAL,LOW
ETHC,Y,1,1,NDB Family,BOTH,LOW
ETHE,Y,1,1,NDB Family,TERMINAL,LOW
ETHF,Y,1,1,NDB Family,TERMINAL,LOW
ETHL,Y,1,1,NDB Family,LO,LOW
ETHM,Y,1,1,NDB Family,LO,LOW
ETHN,Y,1,1,NDB Family,LO,LOW
ETHS,Y,1,1,NDB Family,TERMINAL,LOW
ETIC,Y,2,2-3,Mixed,BOTH,HIGH
ETIH,Y,1,1,NDB Family,TERMINAL,LOW
ETIK,Y,1,1,NDB Family,LO,LOW
ETIN,Y,1,1,Radio Nav,LO,LOW
ETMN,Y,2,2-3,Mixed,BOTH,HIGH
ETND,Y,1,1,NDB Family,BOTH,LOW
ETNG,Y,1,1,Radio Nav,BOTH,MEDIUM
ETNH,Y,2,2-3,Mixed,TERMINAL,HIGH
ETNL,Y,1,1,Radio Nav,BOTH,HIGH
ETNS,Y,1,1,Radio Nav,BOTH,HIGH
ETNW,Y,2,2-3,Mixed,BOTH,HIGH
ETOR,Y,2,2-3,Mixed,BOTH,LOW
ETOU,Y,2,2-3,Mixed,LO,HIGH
ETSB,Y,1,1,Radio Nav,BOTH,HIGH
ETSH,Y,2,2-3,Mixed,BOTH,HIGH
ETSI,Y,2,2-3,Mixed,BOTH,HIGH
ETSL,Y,1,1,Radio Nav,BOTH,HIGH
ETSN,Y,1,1,Radio Nav,BOTH,HIGH
EVLA,Y,1,1,Radio Nav,RNAV,HIGH
EVRA,Y,2,2-3,Radio Nav,BOTH,HIGH
EVVA,Y,1,1,Radio Nav,RNAV,HIGH
EYKA,Y,2,2-3,Mixed,BOTH,HIGH
EYKL,Y,1,1,Radio Nav,RNAV,MEDIUM
EYPA,Y,1,1,NDB Family,TERMINAL,LOW
EYPP,Y,1,1,NDB Family,TERMINAL,LOW
EYSA,Y,2,2-3,Radio Nav,BOTH,HIGH
EYVI,Y,2,2-3,Mixed,TERMINAL,HIGH
FAAB,Y,2,2-3,Mixed,BOTH,HIGH
FABD,Y,1,1,Radio Nav,BOTH,HIGH
FABL,Y,2,2-3,Mixed,BOTH,HIGH
FABM,Y,1,1,NDB Family,BOTH,MEDIUM
FACL,Y,1,1,NDB Family,BOTH,MEDIUM
FACT,Y,2,2-3,Mixed,BOTH,HIGH
FACW,Y,1,1,NDB Family,BOTH,MEDIUM
FADH,Y,1,1,NDB Family,BOTH,MEDIUM
FAEL,Y,1,1,Radio Nav,BOTH,HIGH
FAER,Y,2,2-3,Mixed,BOTH,HIGH
FAES,Y,1,1,NDB Family,BOTH,MEDIUM
FAFB,Y,1,1,NDB Family,BOTH,MEDIUM
FAGC,Y,1,1,NDB Family,BOTH,MEDIUM
FAGG,Y,2,2-3,Mixed,BOTH,HIGH
FAGM,Y,4,4+,Mixed,BOTH,HIGH
FAGV,Y,1,1,NDB Family,BOTH,MEDIUM
FAGY,Y,3,2-3,Mixed,BOTH,HIGH
FAHG,Y,1,1,Radio Nav,BOTH,HIGH
FAHL,Y,1,1,NDB Family,BOTH,MEDIUM
FAHR,Y,1,1,NDB Family,BOTH,MEDIUM
FAHS,Y,2,2-3,Mixed,BOTH,HIGH
FAJF,Y,1,1,NDB Family,HI,MEDIUM
FAKD,Y,1,1,NDB Family,BOTH,MEDIUM
FAKM,Y,2,2-3,Mixed,BOTH,HIGH
FAKN,Y,1,1,NDB Family,BOTH,MEDIUM
FAKS,Y,1,1,NDB Family,BOTH,MEDIUM
FAKU,Y,1,1,NDB Family,BOTH,MEDIUM
FAKZ,Y,1,1,NDB Family,BOTH,MEDIUM
FALA,Y,2,2-3,Mixed,BOTH,HIGH
FALO,Y,1,1,NDB Family,BOTH,MEDIUM
FALW,Y,2,2-3,Mixed,BOTH,HIGH
FALY,Y,2,2-3,Mixed,BOTH,HIGH
FAMG,Y,1,1,NDB Family,BOTH,MEDIUM
FAMJ,Y,1,1,NDB Family,BOTH,MEDIUM
FAMM,Y,2,2-3,Mixed,BOTH,HIGH
